Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
Tennessee,16543360,242245,311017,11185013,163783,10377531,195099,4390419,64.3,4002147,75.2,3836712,56.2,3516598,66.1,9853420,N/A,6145340,N/A,529700,14900,0,270540,4271441,N/A,6563632,N/A,1580,77820,1079187,94.4,990197,86.6,3483979,304705,1446870,4246245,72.8,3724878,63.8,10896015,186717,283492,4370753,68.1,3828515,59.6,11148478,173637,257662,624693,9.7,624693,9.7,617515,10.6,602938,11.3,316876,27.7,N/A,N/A
Texas,77424145,267018,358510,51591479,177927,45145142,209043,22070043,76.1,18835386,87.2,18288650,63.1,15928047,73.8,47168105,N/A,27502740,N/A,2662600,90700,0,1547635,18709145,N/A,31279906,N/A,5187,49606,3739826,95,3314731,88.8,11219857,300460,2073360,20762298,86.1,17441296,72.4,49099204,203722,321247,21933240,81.2,18259413,67.6,51343589,190126,286703,2671902,9.9,2671902,9.9,2618902,10.9,2528096,11.7,1090454,29.2,N/A,N/A
Utah,8090040,252344,355641,6045746,188578,5203552,228750,2405032,75,2016870,88.7,2131741,66.5,1810060,79.6,5234180,N/A,2592260,N/A,256700,6900,0,187903,2040908,N/A,3814610,N/A,824,1501,386959,95,353016,95,1270683,347303,2211170,2239593,86.4,2008514,77.5,5706794,220148,312085,2380364,80.5,2123143,71.8,5999122,202799,273483,401037,13.6,401037,13.6,388730,15,368335,16.2,148522,40.6,N/A,N/A
Virginia,25725505,301394,385420,19273114,225799,17079690,255888,7739864,90.7,6741066,95,6517885,76.4,5678263,85.1,15913505,N/A,8983500,N/A,802500,26000,0,509033,6839334,N/A,11907759,N/A,2035,14953,1556553,95,1324736,95,4851601,357023,1893100,7285834,95,6156568,84.3,18311681,250606,352068,7666661,95,6477556,80.7,19125611,238176,320366,1574605,19.6,1574605,19.6,1535209,21,1474919,22.1,628261,46.2,N/A,N/A
Veterans Health,9644280,N/A,N/A,8518879,N/A,8515238,N/A,3690673,N/A,3688601,N/A,3044301,N/A,3042805,N/A,4258800,N/A,4748880,N/A,626900,9700,0,257342,4402803,N/A,3858275,N/A,421,38,1793867,0,1564317,0,4663205,0,0,3690542,0,3044222,0,8518666,0,0,3690559,0,3044228,0,8518689,0,0,710413,0,710413,0,710413,0,710393,0,468478,0,N/A,N/A
Virgin Islands,168920,158924,207246,154140,145018,144087,176779,74620,70.2,69232,84.9,58791,55.3,54534,66.9,118780,N/A,46740,N/A,3200,200,0,2352,47488,N/A,104293,N/A,7,0,21260,95,16185,79,45590,222629,824885,73008,81.6,57622,64.4,151360,169259,188896,74527,74.8,58759,59,154011,154592,169558,3256,3.3,3256,3.3,3244,3.6,3217,3.9,1867,9.1,N/A,N/A
Vermont,2453360,393174,481066,1722562,276056,1532124,300426,618093,95,539810,95,532519,85.3,464985,91.2,1467340,N/A,909820,N/A,74200,2000,0,54315,649045,N/A,1018150,N/A,142,910,150745,95,133230,95,531099,424747,1962080,578102,95,499257,90.6,1631725,296166,445296,609623,95,527593,88.7,1704741,286537,412367,186038,31.3,186038,31.3,180835,32.8,173104,33.9,77440,61.9,N/A,N/A
Washington,24272805,318754,407821,17336710,227668,15466341,259858,6467245,84.9,5663772,95,5771307,75.8,5072032,85.2,14843205,N/A,8624200,N/A,776000,29400,0,494127,6362157,N/A,10459457,N/A,2976,17993,1293351,95,1184201,95,4450786,367918,2006480,6089160,93.7,5459617,84,16492411,253693,373375,6390290,89.3,5725582,80,17182095,240026,339081,1713902,23.9,1713902,23.9,1661189,25.6,1596197,26.8,639360,52.9,N/A,N/A
Wisconsin,15765815,270777,346057,12215309,209797,11078203,243165,4362035,74.9,3865091,84.8,3959568,68,3526374,77.4,9499215,N/A,5791100,N/A,456500,19000,0,338401,4608879,N/A,7262431,N/A,1218,4380,1078272,95,1006475,95,3877248,381153,1549860,4139428,82.8,3775314,75.5,11731913,234648,315329,4321730,78.7,3938511,71.7,12135158,220963,287072,1155032,21,1155032,21,1132161,22.6,1094668,24,539933,53.1,N/A,N/A
West Virginia,5280755,294661,368619,3068638,171227,2869298,200289,1206682,67.3,1109537,77.5,1067781,59.6,986050,68.8,2984035,N/A,2117420,N/A,171400,7900,0,68499,1322891,N/A,1674716,N/A,218,2314,352690,95,321131,87.5,1072438,292209,1438860,1172882,75.3,1041778,66.9,3004460,192861,338980,1202982,70.8,1065776,62.7,3061899,180205,310793,186743,11,186743,11,185279,11.9,182153,12.7,104269,28.4,N/A,N/A
Wyoming,1244315,214997,279606,846149,146201,783668,176095,351713,60.8,321353,72.2,306435,52.9,280901,63.1,666375,N/A,526140,N/A,49300,2500,0,29177,369368,N/A,446350,N/A,170,1084,97001,95,86885,87.6,281555,283886,1254620,340655,69.4,297673,60.7,824253,167968,253569,350447,64.4,305794,56.2,843666,155135,228807,59975,11,59975,11,59163,12.1,57718,13,32285,32.6,N/A,N/A
